Linux 6.8.0-60-generic (masterserver) 	21/06/25 	_x86_64_	(16 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:54:43        0       158    0,00    0,00    0,00    0,00    0,00    15  kworker/R-acpi_
03:54:43        0       159    0,00    0,00    0,00    0,00    0,00     5  kworker/R-mld
03:54:43        0       160    0,00    0,00    0,00    0,00    0,00     5  kworker/R-ipv6_
03:54:43        0       162    0,00    0,00    0,00    0,00    0,00     0  kworker/0:1H-kblockd
03:54:43        0       168    0,00    0,00    0,00    0,00    0,00     5  kworker/R-kstrp
03:54:43        0       170    0,00    0,00    0,00    0,00    0,00    14  kworker/u67:0
03:54:43        0       171    0,00    0,00    0,00    0,00    0,00    14  kworker/u68:0
03:54:43        0       172    0,00    0,00    0,00    0,00    0,00    14  kworker/u69:0
03:54:43        0       178    0,00    0,00    0,00    0,00    0,00     5  kworker/R-crypt
03:54:43        0       180    0,00    0,00    0,00    0,00    0,00    11  kworker/11:3-events
03:54:43        0       190    0,00    0,00    0,00    0,00    0,00    15  kworker/R-charg
03:54:43        0       191    0,00    0,00    0,00    0,00    0,00    15  irq/27-ACPI:Event
03:54:43        0       192    0,00    0,00    0,00    0,00    0,00     8  kworker/8:2-events_freezable
03:54:43        0       218    0,00    0,00    0,00    0,00    0,00     8  kworker/8:1H-kblockd
03:54:43        0       231    0,00    0,00    0,00    0,00    0,00     2  kworker/2:1H-kblockd
03:54:43        0       232    0,00    0,00    0,00    0,00    0,00     4  kworker/4:1H-kblockd
03:54:43        0       238    0,00    0,00    0,00    0,00    0,00     6  kworker/6:1H-kblockd
03:54:43        0       240    0,00    0,00    0,00    0,00    0,00    12  kworker/12:1H-kblockd
03:54:43        0       242    0,00    0,00    0,00    0,00    0,00    14  kworker/14:1H-kblockd
03:54:43        0       244    0,00    0,00    0,00    0,00    0,00    15  kworker/15:1H-kblockd
03:54:43        0       248    0,00    0,00    0,00    0,00    0,00    13  kworker/13:1H-kblockd
